id,customer_id,product,rating,date,comment
1,1,Horizon X1,5,2025-01-20,"Incredible clarity and field of view. Our surgical training simulations look photorealistic now. The passthrough mode is a game-changer for mixed-reality workflows. Only downside is the weight during extended four-hour sessions."
2,2,HapticGlove V2,4,2025-01-25,"Great haptic feedback for the price point. Our VR prototyping team uses these daily. Finger tracking occasionally drifts after an hour of continuous use but a quick recalibration fixes it. Would love wireless in V3."
3,3,SenseField 360,5,2025-02-03,"The spatial tracking is unmatched. We run full-body motion capture for medical rehabilitation exercises and the latency is imperceptible. Setup was complex but support walked us through it. Worth every penny for clinical use."
4,4,Horizon X1,3,2025-02-10,"Good headset but overpriced for casual use. The resolution is stunning but I mostly play games and the built-in audio is mediocre. Had to buy separate earphones. Software ecosystem still feels thin compared to Quest."
5,5,OptiTrack Pro,4,2025-02-18,"Solid eye-tracking accuracy for our classroom VR modules. Students adapt quickly to the interface. Battery life could be better though. We have to swap units midway through a three-hour workshop."
6,6,HapticGlove V2,2,2025-02-25,"Returned these after a week. The Bluetooth connection drops constantly when paired with my Horizon X1. Customer support said it was a known firmware issue being patched but I cannot wait months for basic functionality."
7,7,Horizon X1,5,2025-03-04,"We deployed forty units across our gaming QA lab. Build quality is excellent and the developer SDK is well-documented. Refresh rate at 120Hz eliminates motion sickness complaints from our testers entirely."
8,8,SenseField 360,4,2025-03-12,"Impressive room-scale tracking for our military training simulations. Accuracy degrades slightly in bright sunlight near windows but works flawlessly in controlled environments. The API integration with Unity was seamless."
9,9,OptiTrack Pro,3,2025-03-20,"Decent eye tracking but the form factor feels dated compared to newer competitors. We use it for UX research gaze studies and the data export is clunky. Had to write custom scripts to parse the proprietary format."
10,11,HapticGlove V2,4,2025-03-28,"Fun for our arcade VR installations. Customers love the tactile feedback in sword-fighting games. Durability has been good over three months of heavy public use. Sizing runs small though, need XL option."
11,12,Horizon X1,4,2025-04-02,"Excellent for architectural walkthroughs with clients. The 8K passthrough lets us overlay BIM models onto real construction sites. Wish the standalone processing power was stronger for complex scenes without PC tethering."
12,3,OptiTrack Pro,5,2025-04-08,"Second purchase for our expanded facility. Eye tracking calibrates in seconds and the data feeds directly into our patient assessment pipeline. Reliability has been outstanding across both units over six months of daily clinical use."
